Time Period,Loan Rating,Average,# of Loans,Low_StdDev,High_StdDev
2009 - 2H,AA,804,297,770,838
2009 - 2H,A,746,458,717,775
2009 - 2H,B,749,98,734,763
2009 - 2H,C,692,390,649,735
2009 - 2H,D,685,333,650,719
2009 - 2H,E,637,193,611,663
2009 - 2H,HR,665,207,628,701
2010 - 1H,AA,802,377,766,839
2010 - 1H,A,747,662,718,776
2010 - 1H,B,746,165,733,760
2010 - 1H,C,690,459,651,730
2010 - 1H,D,685,527,653,718
2010 - 1H,E,646,224,619,673
2010 - 1H,HR,664,330,626,702
2010 - 2H,AA,796,262,759,834
2010 - 2H,A,760,301,727,792
2010 - 2H,B,755,371,725,785
2010 - 2H,C,736,135,673,798
2010 - 2H,D,701,784,661,741
2010 - 2H,E,676,406,652,699
2010 - 2H,HR,664,576,627,701
2011 - 1H,AA,798,337,763,833
2011 - 1H,A,765,407,725,805
2011 - 1H,B,742,521,704,779
2011 - 1H,C,709,392,658,760
2011 - 1H,D,694,1289,652,736
2011 - 1H,E,680,908,642,718
2011 - 1H,HR,667,368,639,694
2011 - 2H,AA,812,214,786,837
2011 - 2H,A,753,1072,709,797
2011 - 2H,B,708,1089,672,745
2011 - 2H,C,705,496,668,742
2011 - 2H,D,697,1984,653,742
2011 - 2H,E,683,1398,640,727
2011 - 2H,HR,691,753,649,732
2012 - 1H,AA,813,352,787,840
2012 - 1H,A,758,1296,715,801
2012 - 1H,B,708,1781,670,746
2012 - 1H,C,712,1856,671,752
2012 - 1H,D,691,1454,642,740
2012 - 1H,E,657,944,629,686
2012 - 1H,HR,704,1813,674,734
2012 - 2H,AA,786,724,753,820
2012 - 2H,A,747,1464,704,790
2012 - 2H,B,715,1290,679,751
2012 - 2H,C,708,2035,668,747
2012 - 2H,D,695,1768,652,737
2012 - 2H,E,675,960,636,714
2012 - 2H,HR,691,1816,657,724
2013 - 1H,AA,787,541,752,821
2013 - 1H,A,750,1765,713,788
2013 - 1H,B,734,2217,696,772
2013 - 1H,C,708,2621,673,742
2013 - 1H,D,690,1871,653,726
2013 - 1H,E,678,1389,635,722
2013 - 1H,HR,697,311,656,739
2013 - 2H,AA,775,1180,739,811
2013 - 2H,A,733,4178,694,772
2013 - 2H,B,713,5341,678,749
2013 - 2H,C,694,6602,664,724
2013 - 2H,D,683,3146,652,713
2013 - 2H,E,670,2525,642,697
2013 - 2H,HR,671,658,642,699
2014 - 1H,AA,755,1088,720,789
2014 - 1H,A,717,2948,683,751
2014 - 1H,B,705,2708,675,735
2014 - 1H,C,691,3359,663,718
2014 - 1H,D,679,1118,654,704
2014 - 1H,E,668,848,650,686
2014 - 1H,HR,664,103,648,680
